Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
02/01/2013;4.8;0;.5;27;23.64;22;null;2
03/01/2013;1.7;1.1;85.6;26.8;22.58;20.5;null;2.3
04/01/2013;1.8;1.5;5.8;28.2;23.24;21;null;1
05/01/2013;2.6;6.8;.3;32;25.68;21.4;null;0
06/01/2013;4.6;4.8;0;32;23.68;20.8;null;1.8
07/01/2013;3.3;4.6;4.4;31.4;23.52;20;null;1.75
08/01/2013;3.7;7.5;27.8;33.6;24.16;20;null;.75
09/01/2013;3.9;4.1;17;30.8;24.44;20.8;null;.8
10/01/2013;1.6;0;41.8;24.2;21.2;19.8;null;1
11/01/2013;.8;0;72.6;22;19.08;17.6;null;3.5
12/01/2013;1.5;3.2;16.2;28.4;22.32;17.4;null;1.15
13/01/2013;2.4;.7;23;26.2;21.68;18.8;null;0
14/01/2013;1.4;2.9;29.8;28;22.2;19.6;null;1.65
15/01/2013;1.7;1.1;16.6;26.8;21.76;19.2;null;0
16/01/2013;1.6;2.3;24.2;29;22.88;20;null;2.65
17/01/2013;2.2;2.3;10.2;28.8;23.56;20;null;2.3
18/01/2013;2.8;7.9;3.6;30.4;23.72;19.4;null;0
19/01/2013;3.3;6.5;45;30.6;23.04;19.2;null;0
20/01/2013;3.7;4.9;16.8;28.2;22.76;20;null;0
21/01/2013;2.7;4.2;.8;27;21.5;17.5;null;2.45
22/01/2013;2.9;8.4;0;27.8;22.58;18.5;null;1.95
23/01/2013;4.5;4.9;.2;28;23.08;19;null;2.45
24/01/2013;3.8;7.5;0;31.6;23.96;19.8;null;.65
25/01/2013;3.7;5.4;.1;32.4;26.56;21.2;null;0
26/01/2013;3.3;2.4;13.7;31.4;24.76;22;null;.8
27/01/2013;2.6;.1;18.6;25.2;20.96;19.2;null;1.95
28/01/2013;2.4;0;.2;24;20.96;19;null;1
29/01/2013;1.9;.3;3;25.6;21.56;19.6;null;1.95
30/01/2013;1.2;.2;8.4;24.8;21.72;19;null;.65
31/01/2013;1.8;2;.1;29;24.24;20.8;null;2.1
01/02/2013;2.6;3.7;0;31.4;24.64;22;81.25;1.466.667
02/02/2013;2.5;5.8;10.2;31.4;24.78;20.5;76;.666667
03/02/2013;3.8;5.6;1.4;31.2;24.28;20.2;80.5;.533333
04/02/2013;3.5;0;2.5;27;22.24;20.6;88.75;.533333
05/02/2013;1.5;0;18.3;24.2;21.24;20;93.75;1
06/02/2013;1.4;.7;9.6;25.6;21.16;18.2;91;.533333
07/02/2013;1.3;0;27.6;24.8;21.46;19.5;92.25;.666667
08/02/2013;1;6.5;5.4;31;23.56;19.6;84.25;2.033.333
09/02/2013;2.6;4;59.2;31;23.2;20.2;87;1.733.333
10/02/2013;2.9;2.3;26.2;29;22.88;19.8;94;2.933.333
11/02/2013;2;5.2;19.6;32;24.9;19.5;82;.433333
12/02/2013;2.8;6.6;.2;33.4;25.4;20.8;73.75;1.066.667
13/02/2013;3.7;6.7;.3;34;24.92;20.6;76;.533333
14/02/2013;4.3;6.4;6.2;33.6;25.72;20.6;77.25;1
15/02/2013;3.7;7.9;0;33;26.44;21.2;67.25;1.666.667
16/02/2013;5.3;6.3;0;33.4;26.4;22;71.75;2.633.333
17/02/2013;4.2;4;1.8;31.6;25.24;21;74.75;1.7
18/02/2013;3.6;5.9;0;33;26;21;75.25;.833333
19/02/2013;3.9;9.6;0;33.6;25.8;22;70;2.666.667
20/02/2013;5.5;10;12.8;33;24.44;19;67.75;.933333
21/02/2013;5.8;11.6;0;33.6;26.16;18.6;64.25;0
22/02/2013;5;9;0;34.4;25.44;19.2;68;.666667
23/02/2013;5.8;6.4;0;31.4;23.64;20.2;76.25;2.066.667
24/02/2013;3.8;7.8;0;32.4;25.12;19.8;75;1.266.667
25/02/2013;5.2;9.7;0;34;26.04;20;70.25;1.033.333
26/02/2013;4.4;8.2;0;33.6;25.76;20.8;81.25;0
27/02/2013;4.2;4.2;36.8;30.2;24.04;20.8;86.25;.666667
28/02/2013;3.8;.8;6;27;22.64;21.4;91;1.966.667
01/03/2013;1.8;0;20.4;21.4;20.28;19.2;97.25;.6
02/03/2013;.8;.2;18.4;23.6;21.72;19.6;94.75;0
03/03/2013;1.1;7.2;24.4;32.4;24.38;20.5;78.75;.766667
04/03/2013;3.5;9.2;5.8;33.4;23.68;20;83;1.866.667
05/03/2013;4;8.8;57.4;33.8;25.16;19.6;76.75;0
06/03/2013;3.5;8.1;2;33;25.12;20.8;82.25;.533333
07/03/2013;3.7;5.6;4.3;31.4;24.64;20.6;80.75;1.2
08/03/2013;3.3;6.2;0;31;26.08;21.8;77.75;1.666.667
09/03/2013;3.9;3.8;.1;32.6;25;22;83.25;.433333
10/03/2013;2.6;7.2;2.1;33.4;26.08;21.8;75.75;.866667
11/03/2013;4.5;2.3;.6;31.8;24.88;21.8;83.5;.533333
12/03/2013;3;7.6;3.7;32.6;25.84;22;76.25;1.033.333
13/03/2013;3.5;3.9;30.2;33.2;24.8;21;91;5.666.667
14/03/2013;2;3.5;2.2;29.8;23.6;21.6;85;2.5
15/03/2013;4;4.1;0;28.6;24.16;21;74.25;2.533.333
16/03/2013;4.7;7.4;.3;31.4;23.68;21;84.75;3.5
17/03/2013;2.8;3.2;43.4;28.8;23.4;20.6;85;4.7
18/03/2013;3.4;0;10;24;20.6;19;90.5;3.133.333
19/03/2013;1.6;0;5.2;21.8;19.36;18;90.5;2.2
20/03/2013;1.5;.3;4;25.4;21.04;16.8;81.5;2.466.667
21/03/2013;3.8;0;.9;23;21.04;20;94.75;0
22/03/2013;.4;7;1.7;31.6;23.4;19.8;83.5;.666667
23/03/2013;2.8;7.4;.6;31;24.04;20;78;.666667
24/03/2013;3.8;5.4;1.3;28.8;24.12;21.4;80;1.066.667
25/03/2013;4;3.6;1.2;30;23.72;20.6;83.5;.533333
26/03/2013;2.6;.2;5.4;27;22.24;20.6;91;0
27/03/2013;1.6;0;10.8;23;21.24;19.8;90.5;1.2
28/03/2013;1.5;8.5;11.1;30;22.68;18.6;69.5;1.066.667
29/03/2013;4.1;10;0;27;21;16;76;1.766.667
30/03/2013;4.7;1.9;.4;26;21.16;19;87.25;.833333
31/03/2013;2.3;5.7;.7;28.8;23.12;19.6;82.75;0
01/04/2013;2.7;4.2;2.8;29.6;24.12;21;82;.533333
02/04/2013;3;1.2;0;29;22.44;20;86.25;.6
03/04/2013;2.2;0;6;23.2;21.2;18;93.5;1.2
04/04/2013;.8;2.7;7.4;28.6;23.6;20.6;87.5;.533333
05/04/2013;2;0;.5;24;22.2;21.4;95.25;0
06/04/2013;.3;7.3;12.4;30.8;23.8;20;82.75;1.333.333
07/04/2013;3.1;6.3;0;30.6;24;20;82.5;.433333
08/04/2013;2.4;1.2;19.8;27;22;20;93.25;1.266.667
09/04/2013;2.2;2.8;14.6;25.6;21.36;18.8;86.25;2.1
10/04/2013;2.7;0;.4;23.6;20.64;19;90;1.733.333
11/04/2013;1.3;2;4.2;27;21.88;19;86.25;2.3
12/04/2013;2.8;7.7;.8;30.8;24.4;19.8;78.5;0
13/04/2013;2.7;.7;0;27;23.9;21.5;85;4.2
14/04/2013;2.5;0;0;24.2;20.4;18.6;89.5;1.433.333
15/04/2013;2;4.6;.6;25.4;20.64;17.8;78.75;.533333
16/04/2013;2.8;9.2;0;28;20.72;17.6;72;1.8
17/04/2013;4.6;8.4;0;26;20.12;16;67.75;1.866.667
18/04/2013;4.3;9.8;0;26;19.7;14.5;76.25;1.066.667
19/04/2013;4.4;7.3;0;27.2;20.96;18;73;.666667
20/04/2013;4.4;9.2;0;27;20.96;18;69.75;1.2
21/04/2013;5;8.7;0;26.4;19.58;15.1;73.25;1.3
22/04/2013;4.2;5;0;25;19.18;14.5;73.5;1.3
23/04/2013;3.3;7.4;0;25.8;18.7;12.5;77.25;1.366.667
24/04/2013;4.3;5.1;0;25.2;19.82;15.5;76.25;.666667
25/04/2013;4;2.6;0;25;20;15.8;72;.433333
26/04/2013;3.5;7.2;0;26.2;19.92;16.8;77;0
27/04/2013;3.4;8;0;28;20.02;13.5;73.25;.766667
28/04/2013;4.4;8;0;26.6;20.9;15.5;71;.433333
29/04/2013;4.4;2.3;0;24;19.72;17;82.25;0
30/04/2013;2.1;7.7;0;30.4;21.08;14.6;74.5;0
01/05/2013;3.4;7.7;0;30;21.42;15.5;76.75;.966667
02/05/2013;4.3;9.4;0;29.2;22.56;17.8;73.25;0
03/05/2013;4;6;0;28;21.12;19.2;78.75;.533333
04/05/2013;3;7.9;0;32.4;21.22;15.1;73;0
05/05/2013;4.4;6.9;0;30.4;22.44;16.6;75;.666667
06/05/2013;4.1;0;.5;22;18.24;17;89.25;2.866.667
07/05/2013;1.5;8.5;1;26.2;18.36;14;74.5;0
08/05/2013;3.3;4.9;0;23.4;16.6;12;76.75;0
09/05/2013;3.7;9.7;0;25.4;17.68;11;70;.666667
10/05/2013;4.3;6.9;0;25.4;19.26;15.1;67.5;1.5
11/05/2013;4.9;7.6;0;26.2;17.84;14;null;.8
12/05/2013;2.9;9.8;0;27.4;18.08;10.8;null;0
13/05/2013;3.2;6.4;0;27.2;18.18;12.5;null;0
14/05/2013;1.7;9.8;0;30.8;20.84;13;null;0
15/05/2013;3.8;9.5;0;30.8;21.66;15.1;null;0
16/05/2013;3.8;3.8;0;30.4;21.68;15.2;null;1.3
17/05/2013;4.2;0;2.4;22.2;19.56;18.2;null;.75
18/05/2013;1.9;0;1.5;23.2;19.36;17;null;1.15
19/05/2013;2.4;.1;0;23;19.8;17;null;.8
20/05/2013;2.2;6.2;0;28.2;21.56;18.2;null;0
21/05/2013;2.7;6.5;0;28.8;21.34;17.5;null;1.15
22/05/2013;4.8;2;0;26.4;20.48;18.6;null;1.8
23/05/2013;2.2;3.7;13.7;24;19.72;17;null;.75
24/05/2013;2.6;0;1.6;19;17.2;16.4;null;0
25/05/2013;.4;6.3;6;23.4;18.12;16;null;1
26/05/2013;3.7;7.9;0;24.2;18.06;14.5;null;1
27/05/2013;6.7;4.2;0;24.8;17.64;12.6;null;.8
28/05/2013;2.2;1.9;4.9;24;17.72;13.8;null;0
29/05/2013;1.3;0;12.4;22.4;18.44;14.6;null;.8
30/05/2013;1;.3;0;25;20.12;17;null;2.05
31/05/2013;2.5;.7;0;23;19.18;17.5;null;1.65
01/06/2013;2.5;5.8;0;26.6;19.38;12.5;82.5;0
02/06/2013;2.1;3.4;0;27;19.66;16.5;86.5;0
03/06/2013;2.2;0;1.3;19.4;18.34;17.5;93;0
04/06/2013;.8;3.9;.5;22.8;18.32;16;85;.666667
05/06/2013;2.4;5.5;0;24.8;18.18;14.5;80.25;0
06/06/2013;2;6.6;0;27;17.76;12;79;0
07/06/2013;2.2;7.8;0;27.8;19.32;13;79;.866667
08/06/2013;3;4.6;0;26.8;20.48;16;83;.533333
09/06/2013;3.3;4.7;.2;25.2;20.5;17.5;78.25;1.666.667
10/06/2013;3;7.9;0;26.4;19.22;15.5;79.25;0
11/06/2013;2.6;4.1;0;26.6;19.16;14;80.75;0
12/06/2013;2.6;5.7;0;28.4;19.42;15.5;81.25;1.666.667
13/06/2013;2.5;5.9;11.1;24.8;19.6;15.8;84;1.066.667
14/06/2013;2.4;6.9;0;26.4;20.8;17;79.5;1.066.667
15/06/2013;2.8;3.5;0;25.4;19.94;17.5;76.25;1.066.667
16/06/2013;2.8;3.9;0;26;19.92;16;78.75;.433333
17/06/2013;2.5;2.1;.4;26;19.96;17;76.5;0
18/06/2013;2.3;5;0;25.8;18.98;15.5;82;0
19/06/2013;3;6.6;0;25.2;17.92;15.4;79.5;.966667
20/06/2013;2.3;6.7;0;25.8;18.94;12.5;81.25;.533333
21/06/2013;2.5;3.7;0;26.4;19.76;15.6;76.75;.433333
22/06/2013;2.7;0;0;26.2;20.64;17.8;85;1
23/06/2013;2.7;0;0;21;17.64;15.4;86.5;.533333
24/06/2013;1.8;.1;1.6;21.8;18.7;16.5;87;1.5
25/06/2013;1.7;.7;0;23.6;19.72;17;82.5;1.4
26/06/2013;1.8;6.5;0;27;19.96;16;79;.533333
27/06/2013;2.5;1;0;24.2;19.72;16.2;88;1.3
28/06/2013;1.5;1.3;.5;25;20.68;18;86;0
29/06/2013;2.1;7.3;0;29;20.88;17.8;74.25;.433333
30/06/2013;3.8;2.4;0;25.6;20.32;14.8;87.25;.6
01/07/2013;2.4;0;0;24.4;19.56;17.8;87.25;.533333
02/07/2013;2.3;1.7;6;22;17.52;15.8;89.25;2.433.333
03/07/2013;2.2;0;.4;20.8;17.36;14.8;81.75;1.1
04/07/2013;2.6;7.5;0;23.8;16.36;12;82.5;1.233.333
05/07/2013;3.1;10;0;25;16.56;11;77.5;.866667
06/07/2013;2.8;8;0;26;15.36;9;79.5;0
07/07/2013;2.5;7.4;0;27.6;16.24;8.8;69.5;0
08/07/2013;3.3;9.6;0;27;17.92;9;72.75;.533333
09/07/2013;4.9;0;7.8;20;16.88;15.8;92.75;2.2
10/07/2013;1.8;.2;0;20.2;16.76;14;83.25;1
11/07/2013;2.1;6.8;0;22.2;15.52;11.2;77;.966667
12/07/2013;3.7;9.1;0;25;16.16;9;78.5;0
13/07/2013;3.1;6.9;0;27;17.84;11.2;78.5;0
14/07/2013;3.2;6.1;0;28;19.08;13;81.5;.666667
15/07/2013;3;6.2;1;28.4;19.36;14.8;78;2.966.667
16/07/2013;5;6.2;2.2;25.4;19.18;16.5;79.25;1.033.333
17/07/2013;4.3;7;0;26;19.36;16.6;73.5;.533333
18/07/2013;3.3;7;0;29;18.36;12;70.5;0
19/07/2013;4.5;5.9;0;28.2;19.12;12.2;77.75;.666667
20/07/2013;3.1;6.3;3.9;29.8;23.84;17.6;55.75;2.2
21/07/2013;6.7;3.7;0;29.6;22.76;18.8;76;1.2
22/07/2013;3.6;8.4;0;30.8;21.86;16.5;80.25;1.233.333
23/07/2013;4;0;2.4;21;16.76;15.4;91.25;2.366.667
24/07/2013;1.5;0;3.2;15.4;11.4;10;98.25;1.433.333
25/07/2013;.3;.1;70.6;15.2;12.84;10.2;79.25;6.433.333
26/07/2013;3.2;8.8;4.8;21.2;15.74;11.5;68;5.366.667
27/07/2013;5;8.4;0;22.8;15.4;10.2;75.75;1
28/07/2013;3.3;5.4;0;21.4;14.4;9.8;82.5;0
29/07/2013;2.2;2.4;0;20.2;14.56;12;84.75;0
30/07/2013;1.3;4.7;.3;22.8;14.86;10.1;83;0
31/07/2013;1.8;8.7;0;26.2;16.52;9.8;69;.433333
01/08/2013;3.2;8.1;0;28.4;16.46;9.5;73;0
02/08/2013;3.8;10.2;0;29.6;17.68;9.6;66.5;0
03/08/2013;4.2;10.1;0;30.2;18.78;10.1;67.25;0
04/08/2013;4.3;9.6;0;30.8;18.88;10.2;62.25;.533333
05/08/2013;5;3.5;0;25;17.84;13;83;1.866.667
06/08/2013;3.6;5.9;0;28.2;19.8;15.6;77.75;1
07/08/2013;2.9;6.4;0;26.2;19.5;16.5;76;1.3
08/08/2013;3.9;9.8;0;29.6;19.56;11.2;68.5;.766667
09/08/2013;3.7;7.4;0;29.2;19.8;13.2;65.5;0
10/08/2013;4.1;10;0;30.4;20.24;12.2;64.25;.533333
11/08/2013;4.3;4.5;0;24.8;17.56;14.6;81.25;1
12/08/2013;3.9;2.1;0;23.4;17.62;13.5;79;.533333
13/08/2013;1.9;6.6;0;28.2;20.16;13.2;75.5;0
14/08/2013;3.5;2.3;0;25.4;17.48;14.2;74;7
15/08/2013;5;2.3;0;20.4;14.8;11.8;62.75;3.5
16/08/2013;4.5;8.4;0;22.4;15.64;7.2;66.75;1.966.667
17/08/2013;5;1.1;0;22.8;18.16;14.6;75;1.133.333
18/08/2013;3.6;0;.4;20.2;16.44;14.2;81;1.033.333
19/08/2013;2.2;4.1;.7;23.6;18.06;15.1;76.75;2.4
20/08/2013;4.4;7.2;0;25;18.32;14.2;68.25;2.4
21/08/2013;6;10.6;0;27.2;19.48;13.2;67.5;.533333
22/08/2013;5.8;9.4;0;30;20.36;12.8;61;.5
23/08/2013;4.4;10;0;32;22.42;13.7;57;.533333
24/08/2013;6;7.9;0;31;20.52;14.4;73.5;1.766.667
25/08/2013;6.3;8.9;0;31.4;21.34;16.5;59.5;.533333
26/08/2013;6.6;9.9;0;30;20.36;13.4;70;1.2
27/08/2013;6.2;1.9;0;23.8;17.92;15.8;85;2.333.333
28/08/2013;5.5;9.5;0;22.4;15.8;12.4;61;3.966.667
29/08/2013;6.2;10.5;0;25;16.66;9.5;67.75;2.633.333
30/08/2013;5.9;8.3;0;27.4;19.04;14.2;60.5;.866667
31/08/2013;5.3;9.5;0;29;19.48;11.4;64.5;.6
01/09/2013;5.2;6.3;0;30.2;19.56;12.6;54.25;.933333
02/09/2013;5.6;9.4;0;32;20.92;11;58.5;0
03/09/2013;5.9;5.6;0;30.8;20.4;12.8;69.5;2.1
04/09/2013;5.9;0;12;19;17.4;16.6;95.75;.433333
05/09/2013;.6;1.8;10.2;22.4;17.78;15.5;86.5;2.066.667
06/09/2013;2.3;4.6;7.2;23.8;18.3;15.1;78.75;2.5
07/09/2013;4.4;6.5;0;26.2;19.3;15.5;69.75;2.266.667
08/09/2013;4.7;6.7;0;27.8;20;13.2;64.25;.5
09/09/2013;4.4;9.1;0;30;21.08;13;57.25;1.666.667
10/09/2013;7;9.3;0;30;21.08;13.2;69.75;1.933.333
11/09/2013;6.7;10;0;28.4;20.76;15.6;57;2.733.333
12/09/2013;8;9.9;0;28.6;20.48;12.6;57.5;1.633.333
13/09/2013;6.4;9.4;0;30.8;21.8;12.4;54;.6
14/09/2013;6.4;8.2;0;30.2;23.2;15.6;52.5;.5
15/09/2013;7;9.5;0;33;23.5;15.1;45.5;.433333
16/09/2013;7.7;8.2;0;34.1;24.84;15.1;47.75;.533333
17/09/2013;7.9;.2;3.4;25.4;21.08;19;87.25;.866667
18/09/2013;1.9;0;6.9;24;20.16;18.2;88.75;1.966.667
19/09/2013;2.1;1.6;.3;27.6;21.68;18.2;82;1.966.667
20/09/2013;2.9;5.8;0;33;24.12;19.6;73.25;2.1
21/09/2013;6.3;9.8;0;36;25.44;17.6;54;.966667
22/09/2013;7.4;2.5;0;33.3;24.54;17.6;71.75;.666667
23/09/2013;6.7;.1;5.8;25;22.1;20.5;86.25;1.533.333
24/09/2013;2;0;.4;23.6;20.84;19.2;92;0
25/09/2013;2.6;5.8;7;23.8;18.56;17;53;9.066.667
26/09/2013;8.7;8.5;0;24;16.52;9.6;59;3.666.667
27/09/2013;7.6;7.9;0;25.2;17.6;14.6;61.75;2.433.333
28/09/2013;6.6;8.6;0;27.8;19.74;11.5;59.5;2.166.667
29/09/2013;6.5;0;11;22.2;19.24;16.6;86.25;1.3
30/09/2013;1.4;0;.6;25.6;21.2;17;76.25;1.733.333
01/10/2013;2.7;6.1;.5;31.8;23.22;18.5;67.75;2.1
02/10/2013;4.9;0;10.2;22;20.04;18.8;91.75;1.266.667
03/10/2013;2.2;.9;16;28;21.86;18.5;84;.433333
04/10/2013;2.3;0;27.8;22.2;20.52;19.4;91.25;.533333
05/10/2013;.7;.9;3;23.8;19.84;17.8;70.75;2.833.333
06/10/2013;5;4.9;0;25;19.16;15.6;64.5;2.5
07/10/2013;7.7;0;0;18.4;16.52;15.4;77.75;1.733.333
08/10/2013;1.9;0;.3;19.4;16;14.2;89.75;2.3
09/10/2013;2.1;2.7;3.4;24.6;18.8;13.2;65.75;2.2
10/10/2013;6.1;7.1;0;27;19.98;15.1;63;1.2
11/10/2013;6.8;9.4;0;27;19.76;12.8;49.25;3.2
12/10/2013;8.6;.3;0;26.8;20.22;12.5;54;2.533.333
13/10/2013;8.5;5.3;0;30.8;22.76;16;57;1.533.333
14/10/2013;6.7;1.2;0;31.8;23;15.2;61;.533333
15/10/2013;6.6;0;.1;23.4;21.36;18.8;84.5;2.1
16/10/2013;1.9;0;6;22.4;20.4;19.6;95;0
17/10/2013;.6;0;11.4;25.8;21.16;19.4;92.5;1.3
18/10/2013;1.4;1.7;13.8;26.8;20.16;17;82.75;2
19/10/2013;1.2;4.7;22.8;28.6;20.96;16.6;76.5;1.633.333
20/10/2013;4.3;6.9;0;32.8;24.16;17;65.5;1.2
21/10/2013;5.7;7.3;0;36;26.08;18.8;59.5;.666667
22/10/2013;7.8;3.2;.7;31.2;23.88;20.2;72;2
23/10/2013;6.4;4.8;0;33;25.74;19.5;61.5;1.466.667
24/10/2013;6.1;7.5;0;34.4;26.6;19;52.75;0
25/10/2013;8.8;3;0;30;23.24;19.8;75.75;2.933.333
26/10/2013;5.5;3.1;.5;31;24.36;19.8;71.5;1.766.667
27/10/2013;5.7;2.8;0;34.6;23.44;18.4;69.75;2.766.667
28/10/2013;5.6;0;9.4;25.2;21.08;19;59;3.466.667
29/10/2013;6.7;0;0;21.2;18.16;16;69.5;2.4
30/10/2013;4.9;0;0;22.4;18.12;16;87.25;0
31/10/2013;2.1;0;.3;22.2;18.48;16.6;87.5;1.866.667
01/11/2013;1.7;.1;3.3;23;18.88;16;85;1.7
02/11/2013;3;4.4;.3;29;22.12;16.6;57.5;3.3
03/11/2013;7.7;6.9;0;31.2;24.04;17.6;54;1.166.667
04/11/2013;6.9;1.2;0;31.2;22.2;16.4;72.25;1.3
05/11/2013;5.4;0;12.8;22.4;19.66;18.3;89;2.933.333
06/11/2013;1.6;0;7.5;19.2;17.64;16.4;95;2
07/11/2013;.6;0;34.7;20.4;18.68;17;94.25;0
08/11/2013;.9;1.4;16.3;26.8;21.28;17.4;74.25;1.733.333
09/11/2013;4.2;5.5;0;29.8;22.56;18;73.25;.766667
10/11/2013;4.8;5.1;0;32;24.4;19;71.5;1.3
11/11/2013;5.1;4.4;0;35;27.28;21.6;59.5;0
12/11/2013;4.9;.6;0;36.6;28.58;21.5;54;3.4
13/11/2013;11;1.1;0;28.6;22.28;20.2;58;1.566.667
14/11/2013;7.1;8.3;0;28;20.6;14.6;59.75;3.6
15/11/2013;7.9;5.2;0;31.6;24.28;17.6;57;2.3
16/11/2013;8.1;3.6;0;33.2;23.74;18.5;70.5;1
17/11/2013;4.7;0;5.6;23.2;19.4;17.6;92;.666667
18/11/2013;1.7;4.4;44.8;27.2;21.2;16.2;72.25;2.033.333
19/11/2013;3.1;2;0;33;22.76;17.8;76.5;.766667
20/11/2013;1.9;8.8;43;34;25.3;17.5;61.75;.533333
21/11/2013;6;8.2;0;34.7;26.14;18.6;58.75;3.5
22/11/2013;7.3;0;2.2;27.6;22.4;20.2;86.5;1
23/11/2013;1.9;0;18.8;23.4;20.72;19.6;92.5;.766667
24/11/2013;1.5;0;16.5;22.2;20.28;18;94;.533333
25/11/2013;.9;0;11.6;23;20.44;19.2;96.75;.666667
26/11/2013;.5;0;75.4;23;20.16;18.4;95;1.3
27/11/2013;.9;.6;9.3;27.4;22.4;19;92;1.666.667
28/11/2013;2.1;5.7;19;31.8;24.88;19.6;71.25;1.1
29/11/2013;4.9;3.8;0;34;26.08;20;67.25;3.133.333
30/11/2013;6.9;.1;5;27.4;23;21;93.25;1.8
01/12/2013;2.8;.2;13.4;29;23.32;21;85.75;.666667
02/12/2013;1.6;1;35.9;28.2;24.2;20.8;85.5;1.066.667
03/12/2013;2.1;5.3;4;34.4;26;21;69.25;2.333.333
04/12/2013;7.1;5.6;0;34;25.44;20.2;67.25;.866667
05/12/2013;5.2;3.4;0;35.8;25.8;19.6;73;1.2
06/12/2013;5.7;.5;28.8;30.4;23.16;19.2;70;1.533.333
07/12/2013;4.6;1;0;29;24.24;20.2;74.5;1.833.333
08/12/2013;4.4;1.8;.5;31.4;25.8;22;70.75;1.833.333
09/12/2013;4.4;4.9;0;35;27.84;21.6;61.5;.766667
10/12/2013;6.1;.5;0;34;25.52;21.6;74.5;.533333
11/12/2013;3.5;0;5;24;21.8;21;95.25;2.166.667
12/12/2013;.9;0;14.2;23;20.6;19.8;91;2.4
13/12/2013;1.5;0;4.5;25.4;21.68;19;76.75;0
14/12/2013;4.6;0;0;29.6;23.08;19.2;71;2.633.333
15/12/2013;4.8;1.3;0;29.2;23.12;19.8;74.5;1.066.667
16/12/2013;3.9;1;.5;29.4;22.96;19.2;65.25;2.333.333
17/12/2013;5.3;2.9;0;26;21.12;17.6;77.75;1.6
18/12/2013;5.1;3.5;0;29.2;23.36;19.8;64.5;2.966.667
19/12/2013;6.4;1.8;0;30.4;23.56;18.6;68.25;2.333.333
20/12/2013;6.8;1.1;0;30.4;23.44;17.6;67.75;1.133.333
21/12/2013;5.4;0;0;29;22.88;19.4;80;1.333.333
22/12/2013;3.4;0;32.4;27.6;23.08;20;75.5;1.966.667
23/12/2013;3.6;0;0;28.2;23;20.2;86;.666667
24/12/2013;2.2;.4;6;29.6;23.52;20;80.75;1.633.333
25/12/2013;2.6;0;36;30.2;24.16;21;86.25;1.3
26/12/2013;3;4.3;11.2;32.8;25.36;21.2;68.25;2.2
27/12/2013;6;5.3;0;34.8;26.14;18.5;58.5;1.433.333
28/12/2013;7.3;2.8;0;34.4;26.64;20.4;62.25;.766667
29/12/2013;5.7;1.7;0;33.4;26.68;22.6;76.5;.533333
30/12/2013;4.6;3.1;6.6;34;26.92;22.2;65.25;2.633.333
31/12/2013;5.8;3.5;0;35.4;26.36;22;75.75;.5
01/01/2014;5.6;2.1;7.8;34.6;26.2;22.2;null;1.65
02/01/2014;4.3;1.8;40.6;33;25.8;21.4;null;0
03/01/2014;3.3;5.3;3.2;36.6;28.24;21.8;null;0
04/01/2014;6.8;6.2;0;34.8;27.92;22.6;null;1.8
05/01/2014;7.9;8.1;0;33.8;26.96;22.2;null;2
06/01/2014;8;5.2;0;32.8;25.92;21;null;2.3
07/01/2014;7.7;4.8;0;32.2;25.64;21;null;2.8
08/01/2014;9;6.1;0;34.4;26.48;18.6;null;.75
09/01/2014;7.6;2.9;0;34;25.66;19.5;null;0
10/01/2014;6.6;3.4;0;33.8;24.44;19;null;1.15
11/01/2014;5.2;3.9;1;35.8;26.8;19.2;null;1.65
12/01/2014;5.9;2.9;0;34.6;26.92;21;null;2.5
13/01/2014;6.3;2;11.2;34.8;25.48;21;null;1.8
14/01/2014;2.9;4.2;15.2;34;25.64;20.6;null;1.65
15/01/2014;4.8;6.5;0;35;25.72;20.2;null;.65
16/01/2014;6.2;3.9;0;33.2;23.72;19.8;null;0
17/01/2014;4.4;2.1;20.4;31;22.44;19.4;null;.75
18/01/2014;1.8;3.8;11.8;30.4;23.12;17.2;null;.8
19/01/2014;3.9;6.8;.2;32;24.54;18.5;null;2.3
20/01/2014;6.1;4.9;0;33;24.48;18.8;null;1
21/01/2014;5.3;7.9;.5;33.6;25.32;19;null;1.65
22/01/2014;3.8;2.5;5.4;33;26.16;20.8;null;1
23/01/2014;5.1;6.9;0;34;25.08;21.2;null;.8
24/01/2014;4.8;9.8;17.6;35;24.48;18.6;null;0
25/01/2014;4.5;9.9;7.4;34.4;25.4;17;null;1.65
26/01/2014;6.3;8;0;33.8;27.52;21.8;null;1.95
27/01/2014;8.2;7.6;0;34.2;27.72;22.8;null;2.65
28/01/2014;9.8;7.2;0;34.6;27.12;20.4;null;1.15
29/01/2014;9.9;8.4;0;34.8;25.08;17.6;null;.65
30/01/2014;10.2;8.5;0;34.6;25.6;17.4;null;.8
31/01/2014;9.7;8;0;35;26;17.8;null;.8
01/02/2014;9.2;11;0;35.4;27.32;18;48.5;.533333
02/02/2014;9.7;12;0;35.8;28.08;20.2;50.25;2.4
